mlbid,PA,AB,pitches,AVG,K,K%,BB,BB%,obp,SLG,OPS,ISO,swings,Whiffs,Whiff%,SwStr%,Called Strikes,cStr%,CSW%,Chase%,Putaway%
596295,164,156,615,0.231,31,18.9,6,3.66,0.256,0.462,0.718,0.231,299,69,23.08,11.22,111,18.05,29.27,26.24,16.85
677944,164,148,611,0.264,26,15.85,10,6.1,0.319,0.48,0.7989999999999999,0.21599999999999997,312,59,18.91,9.66,85,13.91,23.57,25.0,13.98
605463,144,117,606,0.188,29,20.14,20,13.89,0.315,0.359,0.6739999999999999,0.17099999999999999,267,72,26.97,11.88,89,14.69,26.57,27.64,17.16
689017,150,138,604,0.21,37,24.67,10,6.67,0.273,0.406,0.679,0.19600000000000004,277,67,24.19,11.09,100,16.56,27.65,23.43,21.26
676254,148,132,597,0.189,42,28.38,9,6.08,0.267,0.311,0.5780000000000001,0.122,294,77,26.19,12.9,108,18.09,30.99,29.04,20.19
500779,159,145,596,0.255,29,18.24,9,5.66,0.301,0.455,0.756,0.2,255,42,16.47,7.05,112,18.79,25.84,26.42,18.47
605288,156,135,591,0.274,19,12.18,18,11.54,0.368,0.474,0.842,0.19999999999999996,280,55,19.64,9.31,80,13.54,22.84,23.68,11.31
676664,152,141,589,0.22,33,21.71,5,3.29,0.258,0.39,0.648,0.17,273,72,26.37,12.22,114,19.35,31.58,29.93,17.74
506433,146,135,585,0.222,36,24.66,9,6.16,0.276,0.363,0.639,0.141,301,79,26.25,13.5,83,14.19,27.69,29.64,19.67
571578,146,129,583,0.225,32,21.92,16,10.96,0.308,0.341,0.649,0.11600000000000002,250,68,27.2,11.66,100,17.15,28.82,25.0,21.05
518876,161,141,583,0.234,23,14.29,16,9.94,0.314,0.418,0.732,0.18399999999999997,249,41,16.47,7.03,108,18.52,25.56,26.81,17.16
658648,134,113,579,0.186,31,23.13,17,12.69,0.284,0.239,0.5229999999999999,0.05299999999999999,252,58,23.02,10.02,98,16.93,26.94,27.13,17.03
641482,153,142,575,0.204,42,27.45,9,5.88,0.248,0.282,0.53,0.07799999999999999,295,83,28.14,14.43,89,15.48,29.91,27.34,23.73
605452,151,133,574,0.248,28,18.54,14,9.27,0.315,0.376,0.6910000000000001,0.128,286,59,20.63,10.28,83,14.46,24.74,25.38,16.47
669432,131,112,573,0.312,25,19.08,16,12.21,0.397,0.455,0.8520000000000001,0.14300000000000002,242,47,19.42,8.2,94,16.4,24.61,21.55,14.45
680767,139,116,572,0.241,20,14.39,22,15.83,0.36,0.345,0.705,0.10399999999999998,245,45,18.37,7.87,85,14.86,22.73,19.14,11.9
671922,138,127,571,0.165,54,39.13,10,7.25,0.225,0.228,0.453,0.063,282,91,32.27,15.94,102,17.86,33.8,24.3,28.34
669211,140,130,567,0.192,41,29.29,8,5.71,0.245,0.315,0.56,0.123,264,78,29.55,13.76,105,18.52,32.28,24.41,22.53
643410,142,129,560,0.24,43,30.28,11,7.75,0.31,0.364,0.6739999999999999,0.124,269,96,35.69,17.14,83,14.82,31.96,35.54,25.44
666808,134,107,558,0.28,38,28.36,23,17.16,0.406,0.439,0.845,0.15899999999999997,231,83,35.93,14.87,90,16.13,31.0,25.95,27.74
641755,126,105,557,0.267,30,23.81,18,14.29,0.381,0.505,0.886,0.238,271,84,31.0,15.08,66,11.85,26.93,31.07,16.85
502085,132,117,556,0.145,49,37.12,14,10.61,0.242,0.231,0.473,0.08600000000000002,232,70,30.17,12.59,111,19.96,32.55,25.53,26.82
663546,153,139,553,0.245,30,19.61,8,5.23,0.3,0.475,0.7749999999999999,0.22999999999999998,251,39,15.54,7.05,109,19.71,26.76,23.42,21.9
656464,125,116,553,0.259,38,30.4,8,6.4,0.304,0.405,0.7090000000000001,0.14600000000000002,282,80,28.37,14.47,75,13.56,28.03,35.88,18.23
571760,141,125,553,0.272,29,20.57,11,7.8,0.345,0.392,0.737,0.12,247,51,20.65,9.22,93,16.82,26.04,23.26,16.76
642232,143,131,552,0.115,32,22.38,7,4.9,0.171,0.206,0.377,0.09099999999999998,268,71,26.49,12.86,100,18.12,30.98,29.53,18.29
579328,145,135,551,0.23,40,27.59,8,5.52,0.276,0.363,0.639,0.13299999999999998,258,73,28.29,13.25,102,18.51,31.76,28.29,24.84
650911,155,146,550,0.247,32,20.65,6,3.87,0.276,0.336,0.6120000000000001,0.08900000000000002,298,72,24.16,13.09,88,16.0,29.09,41.2,19.39
680730,156,149,550,0.282,41,26.28,7,4.49,0.314,0.362,0.6759999999999999,0.08000000000000002,298,77,25.84,14.0,89,16.18,30.18,34.13,25.31
592866,136,123,549,0.228,31,22.79,11,8.09,0.287,0.301,0.588,0.07299999999999998,249,57,22.89,10.38,87,15.85,26.23,26.33,20.67
683769,139,128,546,0.172,33,23.74,7,5.04,0.237,0.32,0.5569999999999999,0.14800000000000002,276,64,23.19,11.72,93,17.03,28.75,28.98,18.33
663158,124,110,542,0.155,39,31.45,13,10.48,0.244,0.273,0.517,0.11800000000000002,294,85,28.91,15.68,56,10.33,26.01,29.89,21.31
663423,134,122,538,0.262,38,28.36,8,5.97,0.311,0.434,0.745,0.172,274,64,23.36,11.9,94,17.47,29.37,38.2,20.88
663947,147,137,536,0.153,31,21.09,5,3.4,0.205,0.263,0.46799999999999997,0.11000000000000001,251,52,20.72,9.7,105,19.59,29.29,30.89,19.87
607074,135,125,534,0.224,38,28.15,10,7.41,0.281,0.352,0.633,0.12799999999999997,252,75,29.76,14.04,94,17.6,31.65,30.15,23.17
679885,128,104,529,0.221,39,30.47,22,17.19,0.354,0.298,0.6519999999999999,0.07699999999999999,240,79,32.92,14.93,62,11.72,26.65,25.64,25.16
684007,141,137,527,0.212,40,28.37,4,2.84,0.234,0.343,0.5770000000000001,0.13100000000000003,286,82,28.67,15.56,75,14.23,29.79,34.01,22.73
502624,125,108,527,0.25,19,15.2,13,10.4,0.339,0.417,0.756,0.16699999999999998,234,52,22.22,9.87,89,16.89,26.76,23.22,12.34
