Pitch Type,Pitch,Pitch Group,pitches,USG,PA,AB,K,K%,BB,OBP,swings,Whiffs,Whiff%,SwStr%,Called Strikes,cStr%,CSW%,Chase%,Putaway USG,Putaway%,AVG,obp,SLG,OPS,ISO,mlbid
CH,Changeup,OS,117,5.76,33,32,14,42.42,1,3.03,66,25,37.88,21.37,9,7.69,29.06,40.0,8.56,23.33,0.156,0.182,0.188,0.37,0.032,502671
CU,Curveball,BR,67,3.3,13,12,3,23.08,1,7.69,22,4,18.18,5.97,17,25.37,31.34,14.29,3.71,11.54,0.333,0.385,0.75,1.135,0.417,502671
FS,Split-Finger,OS,67,3.3,23,22,10,43.48,1,4.35,41,18,43.9,26.87,3,4.48,31.34,45.24,5.42,26.32,0.136,0.174,0.136,0.31,0.0,502671
KC,Knuckle Curve,BR,27,1.33,8,7,3,37.5,1,12.5,12,4,33.33,14.81,4,14.81,29.63,33.33,1.71,25.0,0.143,0.25,0.143,0.393,0.0,502671
,,,7,0.34,2,1,0,0.0,1,50.0,1,0,0.0,0.0,0,0.0,0.0,,0.0,,0.0,0.5,0.0,0.5,0.0,502671
KN,Knuckleball,,7,0.34,2,2,0,0.0,0,0.0,4,1,25.0,14.29,0,0.0,14.29,0.0,0.43,0.0,0.5,0.5,0.5,1.0,0.0,502671
SV,Slurve,BR,6,0.3,1,1,0,0.0,0,0.0,3,2,66.67,33.33,1,16.67,50.0,60.0,0.29,0.0,0.0,0.0,0.0,0.0,0.0,502671
SC,Screwball,,1,0.05,1,1,0,0.0,0,0.0,1,0,0.0,0.0,0,0.0,0.0,,0.14,0.0,0.0,0.0,0.0,0.0,0.0,502671
SI,Sinker,FB,409,22.12,112,102,10,8.93,7,6.25,187,27,14.44,6.6,89,21.76,28.36,30.32,13.31,14.71,0.265,0.324,0.333,0.657,0.068,514888
FF,4-Seam Fastball,FB,397,21.47,113,104,21,18.58,9,7.96,193,28,14.51,7.05,75,18.89,25.94,35.96,21.53,19.09,0.288,0.345,0.529,0.874,0.241,514888
SL,Slider,BR,372,20.12,104,94,20,19.23,10,9.62,193,54,27.98,14.52,53,14.25,28.76,38.03,22.11,17.7,0.255,0.327,0.415,0.742,0.1599999999999999,514888
