Pitch Type,Pitch,Pitch Group,pitches,USG,PA,AB,K,K%,BB,OBP,swings,Whiffs,Whiff%,SwStr%,Called Strikes,cStr%,CSW%,Chase%,Putaway USG,Putaway%,AVG,obp,SLG,OPS,ISO,mlbid
FF,4-Seam Fastball,FB,123,37.96,35,31,6,17.14,3,8.57,68,22,32.35,17.89,13,10.57,28.46,26.67,36.45,15.38,0.226,0.294,0.419,0.713,0.1929999999999999,553869
CH,Changeup,OS,54,16.67,16,15,6,37.5,1,6.25,33,14,42.42,25.93,4,7.41,33.33,48.57,19.63,28.57,0.133,0.188,0.333,0.521,0.2,553869
CU,Curveball,BR,38,11.73,2,2,0,0.0,0,0.0,12,3,25.0,7.89,9,23.68,31.58,10.53,6.54,0.0,0.5,0.5,0.5,1.0,0.0,553869
SI,Sinker,FB,38,11.73,12,11,3,25.0,1,8.33,25,9,36.0,23.68,6,15.79,39.47,36.36,10.28,27.27,0.273,0.333,0.273,0.6060000000000001,0.0,553869
SL,Slider,BR,35,10.8,11,11,2,18.18,0,0.0,23,3,13.04,8.57,7,20.0,28.57,56.25,14.02,13.33,0.091,0.091,0.091,0.182,0.0,553869
ST,Sweeper,BR,11,3.4,4,3,0,0.0,0,0.0,7,1,14.29,9.09,2,18.18,27.27,0.0,3.74,0.0,0.0,0.0,0.0,0.0,0.0,553869
FC,Cutter,FB,11,3.4,3,3,0,0.0,0,0.0,8,0,0.0,0.0,0,0.0,0.0,40.0,2.8,0.0,0.0,0.0,0.0,0.0,0.0,553869
KC,Knuckle Curve,BR,6,1.85,0,0,0,,0,,4,1,25.0,16.67,0,0.0,16.67,60.0,3.74,0.0,,,,,,553869
FS,Split-Finger,OS,4,1.23,1,1,1,100.0,0,0.0,3,2,66.67,50.0,0,0.0,50.0,66.67,1.87,50.0,0.0,0.0,0.0,0.0,0.0,553869
CS,Slow Curve,BR,2,0.62,1,1,0,0.0,0,0.0,1,0,0.0,0.0,0,0.0,0.0,0.0,0.93,0.0,1.0,1.0,1.0,2.0,0.0,553869
SV,Slurve,BR,2,0.62,1,1,0,0.0,0,0.0,1,0,0.0,0.0,0,0.0,0.0,0.0,0.0,,1.0,1.0,1.0,2.0,0.0,553869
FF,4-Seam Fastball,FB,4,33.33,1,1,0,0.0,0,0.0,2,0,0.0,0.0,0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,553882
SI,Sinker,FB,4,33.33,1,1,0,0.0,0,0.0,2,0,0.0,0.0,1,25.0,25.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,553882
FC,Cutter,FB,3,25.0,0,0,0,,0,,0,0,,0.0,1,33.33,33.33,0.0,0.0,,,,,,,553882
SV,Slurve,BR,1,8.33,1,1,1,100.0,0,0.0,0,0,,0.0,1,100.0,100.0,,100.0,100.0,0.0,0.0,0.0,0.0,0.0,553882
FF,4-Seam Fastball,FB,295,38.31,64,50,17,26.56,11,17.19,127,46,36.22,15.59,50,16.95,32.54,13.6,35.5,18.28,0.16,0.317,0.38,0.6970000000000001,0.22,553993
SL,Slider,BR,130,16.88,34,31,16,47.06,1,2.94,77,32,41.56,24.62,12,9.23,33.85,43.84,20.99,29.09,0.129,0.152,0.387,0.539,0.258,553993
CH,Changeup,OS,94,12.21,28,27,8,28.57,1,3.57,47,17,36.17,18.09,8,8.51,26.6,38.81,12.21,25.0,0.185,0.214,0.556,0.77,0.371,553993
