mlbid,PA,AB,pitches,AVG,K,K%,BB,BB%,obp,SLG,OPS,ISO,swings,Whiffs,Whiff%,SwStr%,Called Strikes,cStr%,CSW%,Chase%,Putaway%
681807,15,15,46,0.333,0,0.0,0,0.0,0.333,0.6,0.933,0.26699999999999996,23,1,4.35,2.17,7,15.22,17.39,36.36,0.0
663321,10,5,44,0.2,1,10.0,4,40.0,0.6,0.2,0.8,0.0,17,4,23.53,9.09,4,9.09,18.18,23.08,9.09
605446,14,13,44,0.462,0,0.0,1,7.14,0.5,1.231,1.731,0.7690000000000001,20,3,15.0,6.82,6,13.64,20.45,17.39,0.0
668834,14,13,42,0.077,1,7.14,1,7.14,0.143,0.154,0.297,0.077,21,5,23.81,11.9,8,19.05,30.95,29.41,12.5
543339,9,8,41,0.25,3,33.33,1,11.11,0.333,0.375,0.708,0.125,21,6,28.57,14.63,4,9.76,24.39,30.43,21.43
621139,10,9,41,0.0,4,40.0,1,10.0,0.1,0.0,0.1,0.0,16,4,25.0,9.76,9,21.95,31.71,30.77,26.67
642121,12,11,41,0.182,1,8.33,1,8.33,0.25,0.455,0.7050000000000001,0.273,19,5,26.32,12.2,3,7.32,19.51,10.0,11.11
571616,9,9,40,0.333,0,0.0,0,0.0,0.333,1.0,1.333,0.667,21,3,14.29,7.5,4,10.0,17.5,28.57,0.0
517008,11,9,40,0.111,1,9.09,2,18.18,0.273,0.222,0.495,0.111,20,5,25.0,12.5,5,12.5,25.0,33.33,9.09
682989,10,8,40,0.5,2,20.0,1,10.0,0.5,0.5,1.0,0.0,14,3,21.43,7.5,11,27.5,35.0,26.09,22.22
607188,9,6,39,0.5,1,11.11,2,22.22,0.556,0.833,1.389,0.33299999999999996,15,5,33.33,12.82,5,12.82,25.64,9.52,11.11
592346,11,10,39,0.4,2,18.18,1,9.09,0.455,0.9,1.355,0.5,17,3,17.65,7.69,8,20.51,28.21,21.05,15.38
664129,8,6,38,0.167,2,25.0,2,25.0,0.375,0.667,1.042,0.5,17,3,17.65,7.89,4,10.53,18.42,15.0,16.67
676050,11,11,38,0.182,2,18.18,0,0.0,0.182,0.273,0.455,0.09100000000000003,18,2,11.11,5.26,6,15.79,21.05,27.27,25.0
686972,8,6,38,0.333,1,12.5,2,25.0,0.5,0.333,0.833,0.0,20,6,30.0,15.79,3,7.89,23.68,28.57,6.25
605441,7,3,37,0.333,1,14.29,4,57.14,0.714,0.333,1.047,0.0,10,3,30.0,8.11,5,13.51,21.62,8.33,11.11
689147,7,5,35,0.4,1,14.29,2,28.57,0.571,0.4,0.971,0.0,11,2,18.18,5.71,8,22.86,28.57,25.0,10.0
669111,9,9,35,0.0,7,77.78,0,0.0,0.0,0.0,0.0,0.0,16,12,75.0,34.29,8,22.86,57.14,42.11,70.0
623381,9,9,34,0.222,4,44.44,0,0.0,0.222,0.333,0.555,0.11100000000000002,12,6,50.0,17.65,10,29.41,47.06,22.22,40.0
643396,8,8,33,0.25,1,12.5,0,0.0,0.25,0.25,0.5,0.0,16,1,6.25,3.03,5,15.15,18.18,36.36,11.11
680742,9,9,33,0.444,1,11.11,0,0.0,0.444,0.778,1.222,0.334,20,5,25.0,15.15,3,9.09,24.24,23.08,8.33
676475,11,11,33,0.727,1,9.09,0,0.0,0.727,1.0,1.7269999999999999,0.273,23,3,13.04,9.09,1,3.03,12.12,40.0,14.29
673111,6,6,33,0.167,2,33.33,0,0.0,0.167,0.333,0.5,0.166,14,4,28.57,12.12,4,12.12,24.24,17.65,28.57
622088,9,9,33,0.222,1,11.11,0,0.0,0.222,0.222,0.444,0.0,13,3,23.08,9.09,9,27.27,36.36,41.18,14.29
660730,6,6,32,0.0,3,50.0,0,0.0,0.0,0.0,0.0,0.0,14,6,42.86,18.75,6,18.75,37.5,20.0,27.27
