Pitch Type,Pitch,Pitch Group,pitches,USG,PA,AB,K,K%,BB,OBP,swings,Whiffs,Whiff%,SwStr%,Called Strikes,cStr%,CSW%,Chase%,Putaway USG,Putaway%,AVG,obp,SLG,OPS,ISO,mlbid
FF,4-Seam Fastball,FB,729,36.32,184,167,49,26.63,11,5.98,319,71,22.26,9.74,143,19.62,29.36,25.86,35.19,23.56,0.24,0.293,0.455,0.748,0.215,448179
CU,Curveball,BR,723,36.02,202,183,42,20.79,16,7.92,335,56,16.72,7.75,160,22.13,29.88,22.88,41.29,17.21,0.284,0.347,0.492,0.839,0.208,448179
FC,Cutter,FB,348,17.34,79,71,8,10.13,7,8.86,187,36,19.25,10.34,69,19.83,30.17,32.87,6.43,21.05,0.394,0.449,0.718,1.167,0.3239999999999999,448179
ST,Sweeper,BR,75,3.74,24,20,4,16.67,3,12.5,29,3,10.34,4.0,9,12.0,16.0,24.0,9.14,7.41,0.25,0.375,0.4,0.775,0.15,448179
CH,Changeup,OS,47,2.34,19,18,0,0.0,0,0.0,25,1,4.0,2.13,4,8.51,10.64,13.64,1.35,0.0,0.278,0.278,0.444,0.722,0.1659999999999999,448179
SI,Sinker,FB,33,1.64,8,7,3,37.5,1,12.5,11,2,18.18,6.06,8,24.24,30.3,12.5,3.21,15.79,0.143,0.25,0.143,0.393,0.0,448179
SL,Slider,BR,29,1.44,10,10,0,0.0,0,0.0,21,2,9.52,6.9,2,6.9,13.79,42.86,1.18,0.0,0.5,0.5,1.0,1.5,0.5,448179
CS,Slow Curve,BR,19,0.95,7,6,0,0.0,1,14.29,10,1,10.0,5.26,0,0.0,5.26,25.0,2.2,0.0,0.167,0.286,0.333,0.619,0.166,448179
,,,4,0.2,0,0,0,,0,,0,0,,0.0,0,0.0,0.0,,0.0,,,,,,,448179
CU,Curveball,BR,564,39.75,171,159,59,34.5,9,5.26,267,106,39.7,18.79,86,15.25,34.04,37.86,60.05,25.65,0.189,0.231,0.258,0.489,0.069,450203
FF,4-Seam Fastball,FB,412,29.03,113,96,18,15.93,14,12.39,180,30,16.67,7.28,85,20.63,27.91,18.03,30.55,15.38,0.281,0.378,0.479,0.857,0.1979999999999999,450203
FC,Cutter,FB,184,12.97,28,21,4,14.29,6,21.43,67,23,34.33,12.5,40,21.74,34.24,22.33,3.39,30.77,0.238,0.429,0.333,0.762,0.095,450203
SI,Sinker,FB,154,10.85,36,30,0,0.0,6,16.67,51,2,3.92,1.3,27,17.53,18.83,13.95,2.35,0.0,0.5,0.583,0.7,1.283,0.1999999999999999,450203
CH,Changeup,OS,96,6.77,19,18,2,10.53,1,5.26,46,11,23.91,11.46,12,12.5,23.96,25.0,3.66,14.29,0.278,0.316,0.389,0.7050000000000001,0.1109999999999999,450203
,,,9,0.63,0,0,0,,0,,0,0,,0.0,0,0.0,0.0,,0.0,,,,,,,450203
FF,4-Seam Fastball,FB,99,60.37,32,27,6,18.75,4,12.5,51,13,25.49,13.13,14,14.14,27.27,26.0,44.74,35.29,0.185,0.281,0.185,0.466,0.0,453178
FS,Split-Finger,OS,48,29.27,12,10,5,41.67,0,0.0,18,10,55.56,20.83,5,10.42,31.25,30.56,55.26,23.81,0.1,0.25,0.1,0.35,0.0,453178
FC,Cutter,FB,14,8.54,2,2,0,0.0,0,0.0,4,2,50.0,14.29,6,42.86,57.14,25.0,0.0,,0.5,0.5,2.0,2.5,1.5,453178
KC,Knuckle Curve,BR,3,1.83,0,0,0,,0,,0,0,,0.0,0,0.0,0.0,0.0,0.0,,,,,,,453178
SL,Slider,BR,283,49.56,74,62,20,27.03,6,8.11,137,35,25.55,12.37,52,18.37,30.74,23.81,60.9,21.05,0.21,0.288,0.371,0.659,0.161,453268
SI,Sinker,FB,211,36.95,53,43,6,11.32,7,13.21,85,11,12.94,5.21,44,20.85,26.07,16.67,21.79,17.65,0.233,0.365,0.302,0.667,0.0689999999999999,453268
FF,4-Seam Fastball,FB,55,9.63,11,5,2,18.18,6,54.55,10,3,30.0,5.45,12,21.82,27.27,5.71,8.33,15.38,0.0,0.545,0.0,0.545,0.0,453268
SV,Slurve,BR,19,3.33,6,4,2,33.33,1,16.67,10,2,20.0,10.53,1,5.26,15.79,25.0,8.33,15.38,0.25,0.5,1.0,1.5,0.75,453268
,,,2,0.35,1,0,0,0.0,1,100.0,0,0,,0.0,0,0.0,0.0,,0.0,,,1.0,,,,453268
CH,Changeup,OS,1,0.18,0,0,0,,0,,0,0,,0.0,0,0.0,0.0,0.0,0.64,0.0,,,,,,453268
FF,4-Seam Fastball,FB,532,45.55,117,108,22,18.8,6,5.13,270,58,21.48,10.9,105,19.74,30.64,24.04,30.56,17.6,0.213,0.274,0.407,0.681,0.1939999999999999,453286
SL,Slider,BR,412,35.27,112,111,32,28.57,1,0.89,219,80,36.53,19.42,55,13.35,32.77,36.77,35.45,22.07,0.252,0.259,0.55,0.809,0.298,453286
CH,Changeup,OS,122,10.45,35,30,16,45.71,4,11.43,60,23,38.33,18.85,5,4.1,22.95,30.95,21.52,18.18,0.2,0.286,0.267,0.5529999999999999,0.067,453286
CU,Curveball,BR,87,7.45,26,26,15,57.69,0,0.0,52,24,46.15,27.59,13,14.94,42.53,48.0,9.78,37.5,0.154,0.154,0.154,0.308,0.0,453286
FC,Cutter,FB,14,1.2,6,6,4,66.67,0,0.0,8,3,37.5,21.43,2,14.29,35.71,42.86,2.44,40.0,0.167,0.167,0.167,0.334,0.0,453286
,,,1,0.09,1,1,1,100.0,0,0.0,0,0,,0.0,0,0.0,0.0,,0.24,100.0,0.0,0.0,0.0,0.0,0.0,453286
EP,Eephus,,16,94.12,5,3,0,0.0,1,20.0,6,0,0.0,0.0,2,12.5,12.5,10.0,100.0,0.0,0.333,0.4,1.333,1.733,1.0,455117
FA,Other,,1,5.88,0,0,0,,0,,0,0,,0.0,0,0.0,0.0,0.0,0.0,,,,,,,455117
FF,4-Seam Fastball,FB,125,31.81,27,26,10,37.04,1,3.7,73,24,32.88,19.2,26,20.8,40.0,35.0,42.97,18.18,0.269,0.296,0.269,0.565,0.0,455119
SI,Sinker,FB,108,27.48,34,33,1,2.94,1,2.94,58,3,5.17,2.78,26,24.07,26.85,41.67,16.41,4.76,0.242,0.265,0.242,0.507,0.0,455119
