Pitch Type,Pitch,Pitch Group,pitches,USG,PA,AB,K,K%,BB,OBP,swings,Whiffs,Whiff%,SwStr%,Called Strikes,cStr%,CSW%,Chase%,Putaway USG,Putaway%,AVG,obp,SLG,OPS,ISO,mlbid
CU,Curveball,BR,394,33.79,115,106,32,27.83,8,6.96,185,70,37.84,17.77,69,17.51,35.28,35.27,44.79,21.92,0.236,0.296,0.434,0.73,0.198,450203
SI,Sinker,FB,291,24.96,88,76,12,13.64,11,12.5,127,20,15.75,6.87,61,20.96,27.84,16.39,12.58,29.27,0.329,0.414,0.566,0.98,0.2369999999999999,450203
FF,4-Seam Fastball,FB,274,23.5,58,53,15,25.86,4,6.9,122,30,24.59,10.95,39,14.23,25.18,21.01,32.82,14.02,0.264,0.328,0.472,0.8,0.2079999999999999,450203
FC,Cutter,FB,147,12.61,28,21,1,3.57,6,21.43,64,18,28.12,12.24,31,21.09,33.33,16.39,3.37,9.09,0.381,0.536,0.524,1.06,0.143,450203
CH,Changeup,OS,58,4.97,21,21,4,19.05,0,0.0,34,7,20.59,12.07,7,12.07,24.14,29.63,5.83,21.05,0.381,0.381,0.429,0.81,0.0479999999999999,450203
,,,2,0.17,0,0,0,,0,,0,0,,0.0,0,0.0,0.0,,0.61,0.0,,,,,,450203
FF,4-Seam Fastball,FB,302,47.56,69,58,17,24.64,7,10.14,141,32,22.7,10.6,67,22.19,32.78,16.1,34.5,24.64,0.241,0.338,0.397,0.7350000000000001,0.156,453286
SL,Slider,BR,219,34.49,64,63,20,31.25,1,1.56,128,52,40.62,23.74,25,11.42,35.16,44.07,37.5,26.67,0.238,0.25,0.397,0.647,0.159,453286
CH,Changeup,OS,59,9.29,14,12,5,35.71,2,14.29,20,6,30.0,10.17,4,6.78,16.95,23.81,18.5,13.51,0.333,0.429,0.333,0.762,0.0,453286
CU,Curveball,BR,53,8.35,12,12,2,16.67,0,0.0,26,11,42.31,20.75,7,13.21,33.96,27.59,9.5,10.53,0.5,0.5,0.917,1.417,0.417,453286
FC,Cutter,FB,2,0.31,0,0,0,,0,,0,0,,0.0,0,0.0,0.0,0.0,0.0,,,,,,,453286
FC,Cutter,FB,131,34.03,38,38,7,18.42,0,0.0,79,10,12.66,7.63,25,19.08,26.72,36.59,24.18,18.92,0.368,0.368,0.605,0.973,0.237,455119
FF,4-Seam Fastball,FB,107,27.79,31,31,9,29.03,0,0.0,64,12,18.75,11.21,16,14.95,26.17,41.86,42.48,13.85,0.194,0.194,0.29,0.484,0.0959999999999999,455119
SI,Sinker,FB,86,22.34,15,14,1,6.67,0,0.0,50,12,24.0,13.95,12,13.95,27.91,45.45,8.5,7.69,0.286,0.333,0.357,0.69,0.071,455119
FS,Split-Finger,OS,50,12.99,16,16,11,68.75,0,0.0,26,11,42.31,22.0,3,6.0,28.0,41.67,22.88,31.43,0.125,0.125,0.125,0.25,0.0,455119
ST,Sweeper,BR,7,1.82,3,3,0,0.0,0,0.0,4,0,0.0,0.0,1,14.29,14.29,33.33,1.96,0.0,0.0,0.0,0.0,0.0,0.0,455119
,,,4,1.04,1,0,0,0.0,1,100.0,0,0,,0.0,0,0.0,0.0,,0.0,,,1.0,,,,455119
FF,4-Seam Fastball,FB,179,40.68,37,31,13,35.14,3,8.11,93,37,39.78,20.67,27,15.08,35.75,25.93,37.23,25.49,0.258,0.343,0.452,0.795,0.194,458677
SL,Slider,BR,147,33.41,49,44,15,30.61,4,8.16,83,30,36.14,20.41,8,5.44,25.85,36.36,50.36,21.74,0.318,0.375,0.432,0.8069999999999999,0.1139999999999999,458677
