Pitch Type,Pitch,Pitch Group,pitches,USG,PA,AB,K,K%,BB,OBP,swings,Whiffs,Whiff%,SwStr%,Called Strikes,cStr%,CSW%,Chase%,Putaway USG,Putaway%,AVG,obp,SLG,OPS,ISO,mlbid
KC,Knuckle Curve,BR,148,26.62,43,39,15,34.88,3,6.98,66,22,33.33,14.86,14,9.46,24.32,30.61,32.4,25.86,0.154,0.233,0.231,0.464,0.077,502085
SL,Slider,BR,31,5.58,6,6,2,33.33,0,0.0,15,6,40.0,19.35,7,22.58,41.94,30.77,2.23,25.0,0.167,0.167,0.667,0.8340000000000001,0.5,502085
CH,Changeup,OS,20,3.6,4,4,1,25.0,0,0.0,11,3,27.27,15.0,2,10.0,25.0,30.0,1.68,33.33,0.0,0.0,0.0,0.0,0.0,502085
,,,13,2.34,3,0,0,0.0,3,100.0,0,0,,0.0,0,0.0,0.0,,0.0,,,1.0,,,,502085
SI,Sinker,FB,7,1.26,0,0,0,,0,,1,0,0.0,0.0,0,0.0,0.0,0.0,2.79,0.0,,,,,,502085
FS,Split-Finger,OS,54,50.47,16,15,1,6.25,0,0.0,32,6,18.75,11.11,3,5.56,16.67,35.48,62.5,10.0,0.2,0.188,0.2,0.388,0.0,502171
SI,Sinker,FB,34,31.78,12,11,2,16.67,1,8.33,12,0,0.0,0.0,10,29.41,29.41,25.0,37.5,33.33,0.364,0.417,0.636,1.053,0.272,502171
KC,Knuckle Curve,BR,19,17.76,2,2,0,0.0,0,0.0,4,1,25.0,5.26,4,21.05,26.32,15.38,0.0,,0.5,0.5,0.5,1.0,0.0,502171
FF,4-Seam Fastball,FB,34,40.96,13,10,0,0.0,3,23.08,15,0,0.0,0.0,5,14.71,14.71,16.67,37.5,0.0,0.4,0.538,0.9,1.4380000000000002,0.5,502179
CH,Changeup,OS,29,34.94,6,5,0,0.0,0,0.0,9,0,0.0,0.0,5,17.24,17.24,10.0,6.25,0.0,0.0,0.0,0.0,0.0,0.0,502179
CU,Curveball,BR,20,24.1,5,5,1,20.0,0,0.0,11,2,18.18,10.0,5,25.0,35.0,50.0,56.25,11.11,0.6,0.6,1.4,2.0,0.7999999999999999,502179
CH,Changeup,OS,220,41.75,56,50,8,14.29,5,8.93,100,26,26.0,11.82,32,14.55,26.36,23.28,40.26,12.9,0.14,0.214,0.22,0.434,0.0799999999999999,502624
FC,Cutter,FB,175,33.21,40,34,5,12.5,4,10.0,83,16,19.28,9.14,31,17.71,26.86,25.58,30.52,10.64,0.353,0.436,0.559,0.995,0.206,502624
FF,4-Seam Fastball,FB,79,14.99,21,17,5,23.81,3,14.29,38,7,18.42,8.86,14,17.72,26.58,22.5,21.43,15.15,0.353,0.476,0.588,1.064,0.235,502624
CU,Curveball,BR,37,7.02,2,2,0,0.0,0,0.0,8,3,37.5,8.11,12,32.43,40.54,20.0,2.6,0.0,0.0,0.0,0.0,0.0,0.0,502624
ST,Sweeper,BR,10,1.9,4,4,0,0.0,0,0.0,5,0,0.0,0.0,0,0.0,0.0,0.0,4.55,0.0,0.5,0.5,1.25,1.75,0.75,502624
,,,6,1.14,2,1,1,50.0,1,50.0,0,0,,0.0,0,0.0,0.0,,0.65,100.0,0.0,0.5,0.0,0.5,0.0,502624
SL,Slider,BR,118,18.76,37,33,10,27.03,3,8.11,75,24,32.0,20.34,14,11.86,32.2,40.82,19.5,25.64,0.273,0.324,0.485,0.8089999999999999,0.2119999999999999,506433
FF,4-Seam Fastball,FB,106,16.85,34,32,5,14.71,1,2.94,58,5,8.62,4.72,12,11.32,16.04,18.6,17.5,14.29,0.25,0.273,0.375,0.648,0.125,506433
SI,Sinker,FB,90,14.31,28,24,8,28.57,3,10.71,42,11,26.19,12.22,21,23.33,35.56,27.78,14.5,27.59,0.25,0.357,0.417,0.774,0.1669999999999999,506433
ST,Sweeper,BR,80,12.72,14,13,3,21.43,1,7.14,38,9,23.68,11.25,17,21.25,32.5,24.32,8.5,17.65,0.385,0.429,0.692,1.121,0.3069999999999999,506433
CU,Curveball,BR,64,10.17,14,13,2,14.29,1,7.14,27,8,29.63,12.5,9,14.06,26.56,29.73,7.5,13.33,0.231,0.286,0.231,0.517,0.0,506433
FC,Cutter,FB,47,7.47,6,6,4,66.67,0,0.0,24,9,37.5,19.15,7,14.89,34.04,31.82,4.0,50.0,0.0,0.0,0.0,0.0,0.0,506433
CH,Changeup,OS,43,6.84,11,11,2,18.18,0,0.0,18,6,33.33,13.95,1,2.33,16.28,26.67,10.5,9.52,0.0,0.0,0.0,0.0,0.0,506433
KC,Knuckle Curve,BR,42,6.68,7,6,2,28.57,1,14.29,21,4,19.05,9.52,6,14.29,23.81,31.82,9.5,10.53,0.167,0.286,0.167,0.4529999999999999,0.0,506433
FS,Split-Finger,OS,37,5.88,6,6,2,33.33,0,0.0,19,7,36.84,18.92,2,5.41,24.32,34.78,8.0,12.5,0.0,0.0,0.0,0.0,0.0,506433
,,,2,0.32,0,0,0,,0,,1,1,100.0,50.0,0,0.0,50.0,,0.5,0.0,,,,,,506433
SI,Sinker,FB,152,58.91,45,40,6,13.33,2,4.44,79,8,10.13,5.26,27,17.76,23.03,33.8,47.83,18.18,0.225,0.289,0.3,0.589,0.0749999999999999,518397
SL,Slider,BR,105,40.7,22,22,8,36.36,0,0.0,38,12,31.58,11.43,24,22.86,34.29,25.0,52.17,22.22,0.045,0.045,0.045,0.09,0.0,518397
